"KER.PA.Close","CPRI.Close","RMS.PA.Close","MC.PA.Close","CFR.SW.Close","ADS.DE.Close","NKE.DE.Close","PUM.DE.Close"
598,38.2799987792969,671,419.149993896484,76.4740013122559,291.549987792969,90.5400009155273,67.1999969482422
600.900024414062,37.3800010681152,675.400024414062,419.100006103516,76.5800018310547,291.950012207031,91.0100021362305,68.1999969482422
590.799987792969,37.0699996948242,669.799987792969,415.149993896484,75.2600021362305,289.649993896484,90.7200012207031,70.0999984741211
596.299987792969,37.5800018310547,678.200012207031,416,76.5800018310547,294.75,91.9599990844727,71.5
597.299987792969,38.0099983215332,684.200012207031,418.799987792969,76.5999984741211,302.850006103516,91.4499969482422,72.1999969482422
595.900024414062,36.7200012207031,687,424.5,76.4000015258789,310,92.1399993896484,72.8000030517578
592.099975585938,35.8400001525879,689,423.649993896484,76,309.049987792969,91.2600021362305,72.3499984741211
593.799987792969,36.3400001525879,689.599975585938,426.75,75.5599975585938,309.149993896484,91.1800003051758,73.4000015258789
592.099975585938,36,699.599975585938,431,76.4400024414062,313.25,92.7200012207031,75.4000015258789
594.599975585938,35.8499984741211,708.599975585938,431.450012207031,78.1600036621094,316.049987792969,92.3099975585938,76
605.099975585938,37.310001373291,712,431.899993896484,77.1600036621094,313.899993896484,92.9400024414062,76.3000030517578
610.200012207031,36.7900009155273,725.599975585938,439.049987792969,80.9400024414062,311.649993896484,93.8499984741211,76.0999984741211
599,35.0864996910095,717,429.75,78.2200012207031,310.25,95,76.4000015258789
586.599975585938,36.6699981689453,709.200012207031,424.950012207031,76.7600021362305,311.5,93.9700012207031,77.0999984741211
592.200012207031,36.4199981689453,711.200012207031,423.450012207031,76.6800003051758,315.049987792969,95.0199966430664,78.4000015258789
573.400024414062,36.5,704.200012207031,411.950012207031,74.9000015258789,310.600006103516,93.5699996948242,77.1500015258789
573.299987792969,35.3800010681152,711,416.299987792969,75.7200012207031,313,93.0500030517578,78.0999984741211
552.599975585938,33.3899993896484,680.400024414062,401,73.6600036621094,300,90.9199981689453,75.5
561.799987792969,32.689998626709,686.599975585938,412,74.2399978637695,301.950012207031,91.4499969482422,75.3000030517578
568,32.0099983215332,690,407.600006103516,73.4400024414062,296.299987792969,91.1100006103516,74.3499984741211
561.200012207031,31.3799991607666,677.400024414062,398.899993896484,72.0800018310547,292.899993896484,89.0400009155273,73.5500030517578
555,29.9599990844727,676.599975585938,395.299987792969,70.6399993896484,285.799987792969,87.7200012207031,72.4000015258789
554.099975585938,29.8199996948242,678.799987792969,396.75,70.9400024414062,285,91.0800018310547,71.6500015258789
569,30.7600002288818,692,410.600006103516,73.0400009155273,291.399993896484,92.3600006103516,73.9000015258789
573.599975585938,33.310001373291,700.200012207031,415,74.1399993896484,290.450012207031,91.0999984741211,73.4000015258789
572,31.3400001525879,693,418.049987792969,74.4599990844727,289.600006103516,91.4300003051758,71.9000015258789
565.700012207031,30.5,695.400024414062,413.950012207031,73.5400009155273,289.100006103516,90.7600021362305,70.9000015258789
562.5,30.0699996948242,696,413.549987792969,74,286.049987792969,91.2099990844727,71.3000030517578
562.700012207031,30.3099994659424,696.400024414062,412.350006103516,73.8199996948242,286.799987792969,91.3399963378906,70.75
598,30.8500003814697,709.400024414062,424.700012207031,74.9400024414062,290.700012207031,93.6999969482422,72.25
596.400024414062,29.7000007629395,711,421.549987792969,74.6600036621094,287.700012207031,95.5599975585938,72.8499984741211
579.400024414062,28.6200008392334,705,414.950012207031,74.4800033569336,288.399993896484,94.8199996948242,71.9499969482422
580,28.5230001449585,709.400024414062,414.399993896484,74.1800003051758,291.450012207031,96.0999984741211,72.4000015258789
569.700012207031,28.1900005340576,700,408.850006103516,72.3000030517578,285.450012207031,94.2399978637695,71.9499969482422
587,27.6499996185303,712.799987792969,419.049987792969,72.9199981689453,292.700012207031,95.6399993896484,80.0999984741211
566.5,28.8600006103516,699.799987792969,409.799987792969,72.2200012207031,285,93.4800033569336,80.4499969482422
561.599975585938,27.6599998474121,694.599975585938,404.5,72.0999984741211,282.450012207031,92.25,79.75
535.099975585938,26.5400009155273,670.400024414062,385.649993896484,70.0999984741211,265.049987792969,88.9100036621094,75
524.5,25.6499996185303,664.200012207031,380.049987792969,68.7600021362305,264.649993896484,87.1600036621094,74.5500030517578
530,24.7399997711182,666,385.25,68.8199996948242,262.5,86.7300033569336,74.4499969482422
511.700012207031,24.6399993896484,641,369.850006103516,66.0199966430664,257.149993896484,82.4300003051758,70.9000015258789
505.799987792969,25.8199996948242,630,370.850006103516,65.4000015258789,250.550003051758,78.870002746582,69.1999969482422
504.600006103516,25.4300003051758,634.799987792969,376.100006103516,64.379997253418,246.600006103516,80.879997253418,68.0500030517578
512,24.3999996185303,642.799987792969,377.350006103516,65.1399993896484,251,83.0999984741211,70.4000015258789
513.599975585938,25.1399993896484,653,385.200012207031,65.879997253418,252.399993896484,82.1699981689453,70.5500030517578
501.5,23.3600006103516,646.599975585938,374.549987792969,64.3600006103516,249.100006103516,81.5999984741211,67.0500030517578
483.5,22.9300003051758,634,360.350006103516,62.7999992370605,241.050003051758,78,64.25
457.049987792969,20.2099990844727,605.599975585938,338,59.9599990844727,227.300003051758,74.2600021362305,59.5
449.950012207031,20.8700008392334,595.799987792969,334.799987792969,60,221,74.0500030517578,58.6500015258789
438.5,18.8299999237061,594.599975585938,330.149993896484,58.2200012207031,200.800003051758,73.4800033569336,56
384.5,14.3400001525879,560,301.5,50.3600006103516,173.880004882812,66.5599975585938,48.1399993896484
