"SPOT.Close","NFLX.Close","NVDA.Close","META.Close","AAPL.Close","IBM.Close","MSFT.Close","GOOG.Close"
151.619995117188,329.809997558594,5.99774980545044,209.779998779297,75.0875015258789,129.464630126953,160.619995117188,68.3684997558594
152.5,325.899993896484,5.90175008773804,208.669998168945,74.3574981689453,128.43212890625,158.619995117188,68.0329971313477
156.720001220703,335.829986572266,5.92649984359741,212.600006103516,74.9499969482422,128.202682495117,159.029998779297,69.7105026245117
156.020004272461,330.75,5.99825000762939,213.059997558594,74.5975036621094,128.288711547852,157.580001831055,69.6669998168945
158.779998779297,339.260009765625,6.00950002670288,215.220001220703,75.7975006103516,129.359466552734,160.089996337891,70.2160034179688
157.740005493164,335.660003662109,6.07550001144409,218.300003051758,77.4075012207031,130.726577758789,162.089996337891,70.9915008544922
156.039993286133,329.049987792969,6.10799980163574,218.059997558594,77.5824966430664,130.678771972656,161.339996337891,71.4865036010742
150.869995117188,338.920013427734,6.29949998855591,221.910003662109,79.2399978637695,130.592727661133,163.279998779297,71.9615020751953
149.399993896484,338.690002441406,6.18200016021729,219.059997558594,78.1699981689453,129.847030639648,162.130004882812,71.5439987182617
152.449996948242,339.070007324219,6.13924980163574,221.149993896484,77.8349990844727,130.611862182617,163.179992675781,71.9599990844727
151.839996337891,338.619995117188,6.22324991226196,221.770004272461,78.8099975585938,131.912048339844,166.169998168945,72.5849990844727
148.339996337891,339.670013427734,6.23199987411499,222.139999389648,79.682502746582,132.2275390625,167.100006103516,74.0195007324219
148.949996948242,338.109985351562,6.19850015640259,221.440002441406,79.1425018310547,133.049713134766,166.5,74.2200012207031
148.119995117188,326,6.25274991989136,221.320007324219,79.4250030517578,137.562133789062,165.699996948242,74.2975006103516
148.970001220703,349.600006103516,6.32149982452393,219.759994506836,79.807502746582,136.587005615234,166.720001220703,74.3324966430664
146.630004882812,353.160003662109,6.26200008392334,217.940002441406,79.5774993896484,134.37858581543,165.039993286133,73.3355026245117
144.339996337891,342.880004882812,6.00500011444092,214.869995117188,77.2375030517578,132.523895263672,162.279998779297,71.6949996948242
144.300003051758,348.519989013672,6.19925022125244,217.789993286133,79.4225006103516,133.412994384766,165.460006713867,72.6279983520508
141.570007324219,343.160003662109,6.13850021362305,223.229995727539,81.0849990844727,131.634796142578,168.039993286133,72.9315032958984
142.710006713867,347.739990234375,6.14524984359741,209.529998779297,80.9674987792969,130.755264282227,172.779998779297,72.7919998168945
141.300003051758,345.089996337891,5.91074991226196,201.910003662109,77.3775024414062,137.4091796875,170.229995727539,71.7115020751953
146.5,358,6.00825023651123,204.190002441406,77.1650009155273,139.837478637695,174.380004882812,74.2969970703125
154.309997558594,369.010009765625,6.17824983596802,209.830001831055,79.7125015258789,142.552581787109,180.119995117188,72.3535003662109
147,369.670013427734,6.26900005340576,210.110000610352,80.3625030517578,149.455062866211,179.899993896484,72.4114990234375
154.369995117188,366.950012207031,6.35624980926514,210.850006103516,81.3024978637695,149.866149902344,183.630004882812,73.8115005493164
154.550003051758,366.769989013672,6.28975009918213,212.330001831055,80.0074996948242,146.663482666016,183.889999389648,73.9615020751953
148.330001831055,371.070007324219,6.57425022125244,213.059997558594,80.3874969482422,147.638626098633,188.699996948242,75.4339981079102
145.770004272461,373.690002441406,6.69724988937378,207.190002441406,79.9024963378906,146.730407714844,184.440002441406,75.4394989013672
147.080001831055,380.010009765625,6.81349992752075,210.759994506836,81.8000030517578,148.479919433594,184.710006713867,75.9134979248047
141.5,381.399993896484,6.76949977874756,213.139999389648,81.2174987792969,147.523895263672,183.710006713867,75.7330017089844
141,380.399993896484,7.24475002288818,214.179992675781,81.2375030517578,144.072662353516,185.350006103516,76.0370025634766
144.630004882812,387.779998779297,7.41424989700317,217.800003051758,79.75,144.455062866211,187.229995727539,75.9834976196289
143.360000610352,386.190002441406,7.86749982833862,217.490005493164,80.9049987792969,144.225616455078,187.279998779297,76.3345031738281
147.860000610352,386,7.71750020980835,214.580001831055,80.0749969482422,144.569793701172,184.419998168945,75.9075012207031
146.949996948242,380.070007324219,7.35174989700317,210.179992675781,78.2624969482422,143.250473022461,178.589996337891,74.255500793457
145.330001831055,368.700012207031,6.83199977874756,200.720001220703,74.5449981689453,139.990432739258,170.889999389648,71.0794982910156
141.800003051758,360.089996337891,6.55124998092651,196.770004272461,72.0199966430664,135.478012084961,168.070007324219,69.4225006103516
140.490005493164,379.239990234375,6.69124984741211,197.199996948242,73.1624984741211,133.604202270508,170.169998168945,69.6589965820312
134.509994506836,371.709991455078,6.31500005722046,189.75,68.379997253418,127.256210327148,158.179992675781,65.9045028686523
137.119995117188,369.029998779297,6.75174999237061,192.470001220703,68.3399963378906,124.426383972168,162.009994506836,66.9664993286133
139.339996337891,381.049987792969,6.91074991226196,196.440002441406,74.7024993896484,128.39387512207,172.789993286133,69.4554977416992
137.160003662109,368.769989013672,6.64725017547607,185.889999389648,72.3300018310547,123.23136138916,164.509994506836,67.0695037841797
144.25,383.790008544922,7.11275005340576,191.759994506836,75.6849975585938,128.317398071289,170.550003051758,69.3259963989258
148.080001831055,372.779998779297,6.83225011825562,185.169998168945,73.2300033569336,123.85277557373,166.270004272461,65.9520034790039
145.139999389648,368.970001220703,6.65100002288818,181.089996337891,72.2574996948242,122.112808227539,161.570007324219,64.9205017089844
139.779998779297,346.489990234375,6.13600015640259,169.5,66.5425033569336,112.629066467285,150.619995117188,60.7779998779297
141.899993896484,364.130004882812,6.52699995040894,178.190002441406,71.3349990844727,119.282981872559,160.919998168945,64.0195007324219
