"SHEL.Close","ENI.MI.Close","ENEL.MI.Close","ENGI.PA.Close","ORSTED.CO.Close","CHV.F.Close","REP.MC.Close","TTE.PA.Close"
59.7400016784668,14.0080003738403,7.21199989318848,14.6949996948242,681,108.26000213623,14.0649995803833,49.814998626709
60.2099990844727,14.1059999465942,7.21099996566772,14.6899995803833,677.400024414062,109.860000610352,14.2399997711182,50.3800010681152
60.9599990844727,14.3159999847412,7.22599983215332,14.7049999237061,670.200012207031,109.120002746582,14.3500003814697,50.439998626709
60.4000015258789,14.3199996948242,7.23000001907349,14.8900003433228,662,107.480003356934,14.2299995422363,50.1100006103516
59.689998626709,14.206000328064,7.26999998092651,14.8699998855591,645,107.099998474121,14.3599996566772,50.2400016784668
59.6800003051758,14.1400003433228,7.30499982833862,14.8100004196167,645.799987792969,105.379997253418,14.1700000762939,49.9599990844727
59.0099983215332,14.1000003814697,7.41699981689453,14.7550001144409,652.799987792969,105.660003662109,14.3199996948242,49.7849998474121
58.9599990844727,14.039999961853,7.40000009536743,14.8000001907349,659.599975585938,104.819999694824,14.2449998855591,49.560001373291
58.9199981689453,13.8739995956421,7.40000009536743,14.8100004196167,664.599975585938,104.319999694824,14.2349996566772,49.1599998474121
58.8199996948242,13.7980003356934,7.4210000038147,14.8999996185303,684.599975585938,103.900001525879,14.1000003814697,48.5800018310547
58.7700004577637,13.8879995346069,7.61100006103516,14.9799995422363,686,104.519996643066,14.1450004577637,48.7900009155273
58.5400009155273,13.9160003662109,7.72499990463257,15.1949996948242,695.400024414062,104.440002441406,14.039999961853,48.5050010681152
57.4094997406006,13.8819999694824,7.62900018692017,15.3000001907349,706.400024414062,104.319999694824,13.9200000762939,48.5699996948242
57.4599990844727,13.71399974823,7.6100001335144,15.2849998474121,700.400024414062,102.559997558594,13.7749996185303,48.1150016784668
57.439998626709,13.5579996109009,7.5460000038147,15.2950000762939,716.400024414062,102,13.6000003814697,47.7999992370605
57.4000015258789,13.4580001831055,7.61999988555908,15.5,729.400024414062,102,13.1300001144409,47.3199996948242
57.1699981689453,13.4700002670288,7.81899976730347,15.710000038147,749.599975585938,102.220001220703,13.1000003814697,47.3849983215332
56.0900001525879,13.1960000991821,7.67399978637695,15.6999998092651,737,100.139999389648,12.6499996185303,46.1100006103516
55.9199981689453,13.3979997634888,7.89900016784668,15.7250003814697,743,101.040000915527,12.7700004577637,46.4749984741211
55.7299995422363,13.2880001068115,8.00899982452393,15.8800001144409,748,101.620002746582,12.7950000762939,46.1800003051758
53.8400001525879,12.9259996414185,8.08800029754639,15.6300001144409,727.400024414062,99.0899963378906,12.5799999237061,44.9199981689453
52.1500015258789,12.6579999923706,7.85500001907349,15.5600004196167,736,98,12.4650001525879,44.1450004577637
51.2400016784668,12.6099996566772,7.96600008010864,15.6300001144409,736.200012207031,96.4400024414062,12.2849998474121,43.7599983215332
51.6500015258789,12.7880001068115,8,15.6450004577637,719,97.6999969482422,12.5799999237061,44.7999992370605
52.9500007629395,13.0279998779297,8.06999969482422,15.5349998474121,715,98.0400009155273,12.7950000762939,45.435001373291
52.1399993896484,12.9700002670288,8.13000011444092,15.710000038147,716.599975585938,100.519996643066,12.8249998092651,45.9000015258789
51.7900009155273,12.9060001373291,8.17700004577637,15.6400003433228,726,100.059997558594,12.7550001144409,45.2599983215332
51.3899993896484,12.7799997329712,8.19999980926514,15.625,729.200012207031,99.5299987792969,12.5900001525879,44.5750007629395
51.9900016784668,12.9259996414185,8.19299983978271,15.914999961853,735,101.800003051758,12.7449998855591,44.9900016784668
52.6500015258789,13.1000003814697,8.13199996948242,15.9399995803833,725.200012207031,102.599998474121,12.7700004577637,45.4850006103516
50.9900016784668,12.9879999160767,8.20699977874756,15.9099998474121,727.599975585938,102.199996948242,12.664999961853,45.3950004577637
50.4900016784668,12.8920001983643,8.27700042724609,16.1350002288818,743,102.319999694824,12.6499996185303,45.25
49.4115003585815,13.0279998779297,8.39400005340576,16.3250007629395,743.400024414062,101.519996643066,12.5249996185303,45.2050018310547
50.2099990844727,12.9099998474121,8.46700000762939,16.5499992370605,764.200012207031,101,12.3450002670288,44.6949996948242
50.2200012207031,12.9379997253418,8.56599998474121,16.6450004577637,771.200012207031,102.459999084473,12.3500003814697,45.0499992370605
49.6199989318848,12.8999996185303,8.43299961090088,16.4799995422363,761,101.639999389648,12.2950000762939,44.75
49.1699981689453,12.7639999389648,8.44400024414062,16.5949993133545,769.799987792969,100.099998474121,11.9549999237061,44.2949981689453
47.2799987792969,12.1680002212524,8.02999973297119,16.0949993133545,735.599975585938,97.4300003051758,11.3149995803833,42.1650009155273
45.9000015258789,11.9759998321533,7.80499982833862,15.5450000762939,719.599975585938,95.8000030517578,10.9650001525879,41.1399993896484
45.75,12.0640001296997,7.95499992370605,15.6400003433228,732,91.5,10.8649997711182,41.0449981689453
43.939998626709,11.7580003738403,7.91599988937378,16.0049991607666,709.799987792969,86.4100036621094,10.5100002288818,39.6800003051758
44.0299987792969,11.1579999923706,7.57600021362305,15.0299997329712,695.400024414062,84.370002746582,10.1300001144409,38.3800010681152
44.8300018310547,11.1180000305176,7.6399998664856,15.1350002288818,709,85.6800003051758,10.2150001525879,39.0999984741211
43.9599990844727,11.1199998855591,7.79300022125244,15.2349996566772,718,85.9899978637695,10.3500003814697,39.3199996948242
45.2999992370605,11.1520004272461,8.23999977111816,15.9300003051758,757.400024414062,87.25,10.289999961853,39.9449996948242
43.7299995422363,10.9680004119873,8.14500045776367,15.7299995422363,755.200012207031,86.6399993896484,10.0900001525879,39.0499992370605
