"SAN.PA.Close","NOVN.SW.Close","BAYN.DE.Close","AZN.Close","UCB.BR.Close","MRK.DE.Close","ARGX.Close","GSK.L.Close"
89.7298049926758,87.0234031677246,73.5199966430664,50.3899993896484,71.2399978637695,106,160.460006713867,1790.27612304688
90.2867660522461,87.4622268676758,72.5800018310547,50.0900001525879,70.7600021362305,107.25,158.580001831055,1797.52905273438
90.8536682128906,87.2821502685547,71.7399978637695,49.8800010681152,73.3399963378906,108.400001525879,156.419998168945,1783.42614746094
90.5354080200195,87.5190963745117,72.129997253418,50.0699996948242,73.8000030517578,109.5,155.259994506836,1775.3671875
90.8437194824219,87.0546798706055,74,49.9500007629395,73.8399963378906,111.300003051758,156.5,1784.23205566406
91.5001373291016,87.5380554199219,74.7200012207031,50.0800018310547,76.2399978637695,112.550003051758,165.229995727539,1803.37182617188
92.2162246704102,86.8556442260742,75.3600006103516,49.8499984741211,77.4199981689453,113.699996948242,163.740005493164,1810.62475585938
91.5697555541992,86.2964477539062,74.7300033569336,49.6699981689453,78.9199981689453,113.400001525879,156.75,1822.51159667969
90.7741012573242,86.4954833984375,74.5400009155273,50.1800003051758,79.8000030517578,115.099998474121,153.600006103516,1817.67626953125
91.2216567993164,86.8840789794922,75.3199996948242,50.7999992370605,79.9000015258789,116.050003051758,152.600006103516,1848.70288085938
91.1122512817383,86.8461685180664,74.7600021362305,50.5099983215332,78.8600006103516,114.800003051758,150.039993286133,1821.302734375
91.6891021728516,87.9361267089844,75.25,51.3300018310547,79.9599990844727,115.5,154.389999389648,1859.58227539062
91.4006805419922,87.8792572021484,75.5,49.8754999160767,80.379997253418,116.300003051758,152.138499450684,1851.52355957031
90.8636093139648,88.0403823852539,75.75,50.7999992370605,81.4400024414062,117.400001525879,153.350006103516,1851.52355957031
88.3871383666992,87.3390197753906,74.6800003051758,50.4500007629395,82,117,153.509994506836,1833.39099121094
88.7252960205078,87.0262451171875,74.0999984741211,50.2000007629395,81.7799987792969,117.449996948242,149.229995727539,1836.4130859375
88.6258392333984,86.7703399658203,75.25,49.2799987792969,82.1999969482422,120,144.75,1836.21154785156
86.2289276123047,85.9741973876953,73.5599975585938,48.9000015258789,81.3600006103516,117.599998474121,143.320007324219,1795.71594238281
87.1936645507812,87.7560424804688,75.6500015258789,49.5999984741211,82.4000015258789,118.75,143.580001831055,1805.18505859375
88.1882247924805,88.8365249633789,74.9000015258789,49.6599998474121,83.0999984741211,119.050003051758,148.190002441406,1827.34692382812
87.3826293945312,87.4148406982422,73.4599990844727,49.0900001525879,81.879997253418,118.199996948242,147.229995727539,1805.58801269531
86.4775695800781,86.4101791381836,73.0500030517578,48.7000007629395,83.0800018310547,115.900001525879,144.289993286133,1797.12622070312
87.1240386962891,86.6755599975586,73.3199996948242,48.5099983215332,83.620002746582,117.349998474121,150.789993286133,1814.0498046875
88.0788269042969,87.4053649902344,75.4000015258789,48.7599983215332,84.5599975585938,117.800003051758,155.059997558594,1828.35424804688
89.4413833618164,88.7227935791016,77.2799987792969,49.7299995422363,87.3000030517578,121.050003051758,155.850006103516,1752.39953613281
93.1411666870117,89.1587753295898,78.2900009155273,50.0299987792969,87.5,121,155.5,1707.26977539062
93.0715484619141,88.883918762207,77.629997253418,49.4000015258789,87.0599975585938,120.199996948242,154.490005493164,1712.70959472656
92.9621505737305,89.6326751708984,77.120002746582,49.9099998474121,87.8000030517578,120.099998474121,157.460006713867,1730.23754882812
93.4196472167969,90.6752471923828,77.1999969482422,49.7799987792969,88.0599975585938,120.849998474121,157.559997558594,1715.93310546875
92.4250793457031,90.6752471923828,77.6600036621094,49.5800018310547,88.9400024414062,121.849998474121,160.199996948242,1708.47875976562
91.8780670166016,90.8174133300781,77.3000030517578,49.3300018310547,89.3600006103516,122.75,161.039993286133,1693.77124023438
91.7388305664062,90.6278533935547,77.370002746582,47.8499984741211,89.7399978637695,122.349998474121,160.190002441406,1680.87707519531
91.8084487915039,90.5709838867188,75.9199981689453,48.3694997787476,89.5800018310547,122.699996948242,155.281000518799,1673.82556152344
93.2008438110352,90.4193420410156,75.2099990844727,49.1100006103516,88.8000030517578,123.5,160.119995117188,1679.26525878906
93.4892654418945,90.8174133300781,75.4800033569336,49.310001373291,89.5,125.599998474121,161.880004882812,1690.34619140625
92.9919815063477,89.6231918334961,74.6600036621094,48.939998626709,92.2799987792969,122.75,161.169998168945,1662.14025878906
92.8229064941406,89.471549987793,74.0899963378906,50.1699981689453,91.9000015258789,124.050003051758,161.100006103516,1670.40063476562
91.0724716186523,86.5239181518555,70.5,47.5900001525879,89.620002746582,118,156.300003051758,1641.79162597656
89.9486083984375,82.2493743896484,69.7900009155273,47.0800018310547,87.9800033569336,116.150001525879,153.490005493164,1613.98852539062
90.4061126708984,81.9271240234375,69.9000015258789,47.5699996948242,91.6999969482422,115.900001525879,150.509994506836,1644.61218261719
87.9594802856445,80.6096954345703,66.9100036621094,45.0699996948242,88.4000015258789,112.900001525879,143.539993286133,1641.79162597656
83.4739837646484,77.0080871582031,65.2099990844727,43.7999992370605,83.5599975585938,109.050003051758,141.380004882812,1573.69421386719
85.1249618530273,77.7189331054688,65.120002746582,45.8699989318848,86.5199966430664,111.199996948242,147.990005493164,1641.99304199219
85.6222457885742,76.8374862670898,64.1999969482422,45.5200004577637,89.7200012207031,113.150001525879,147.360000610352,1619.83117675781
89.0932846069336,78.4013366699219,66.9899978637695,48.5999984741211,90.6999969482422,114.550003051758,156.820007324219,1676.04174804688
