"VOW3.DE.Close","RACE.MI.Close","STLAM.MI.Close","RNO.PA.Close","MBG.DE.Close","BMW.DE.Close","TSLA.Close","TM.Close"
180.5,149.550003051758,12.6754179000854,41.9000015258789,41.566577911377,74.2200012207031,28.6840000152588,142.240005493164
176.639999389648,149.5,12.4115839004517,41.2200012207031,40.8138465881348,73.3199996948242,29.5340003967285,140.75
176.619995117188,148.199996948242,12.242654800415,41.3499984741211,40.593433380127,73.0500030517578,30.1026668548584,140.770004272461
176.059997558594,148.800003051758,12.299596786499,42.810001373291,40.9178161621094,74.2200012207031,31.2706661224365,141.509994506836
176.820007324219,151.600006103516,12.1439542770386,42.6349983215332,41.1465454101562,74.4100036621094,32.8093338012695,141.160003662109
181.720001220703,152.75,12.1781196594238,42.0750007629395,41.3212127685547,74.3600006103516,32.0893325805664,140.509994506836
185.520004272461,156,12.1762218475342,41.8400001525879,41.1132774353027,74.5699996948242,31.8766670227051,139.729995727539
185.279998779297,155.649993896484,12.1002979278564,40.6599998474121,40.6682929992676,73.629997253418,34.990665435791,140.559997558594
185.220001220703,156.25,12.0642347335815,40.5,40.3023223876953,73.3000030517578,35.8613319396973,140.369995117188
182.619995117188,155.199996948242,11.8364639282227,40,39.2917518615723,72.1900024414062,34.5666656494141,139.360000610352
179.919998168945,154.25,11.8193807601929,39.5349998474121,38.9881629943848,71.1699981689453,34.232666015625,140.100006103516
181.360000610352,157.100006103516,11.7985019683838,39.2599983215332,38.8342895507812,71.0599975585938,34.033332824707,140.039993286133
182.020004272461,157.25,11.8231782913208,39.5950012207031,38.7303199768066,71.6399993896484,36.6952331542969,140.894998931885
181.300003051758,155.100006103516,11.7017002105713,39.2849998474121,38.5930824279785,71.4100036621094,36.4799995422363,142.380004882812
179.139999389648,156.550003051758,11.5973052978516,38.9550018310547,37.773811340332,70.9499969482422,37.9706687927246,141.559997558594
176.580001831055,155.300003051758,11.4321718215942,36.9850006103516,36.9545402526855,69.6900024414062,38.1466674804688,143.059997558594
177.520004272461,157,11.5232801437378,36.2700004577637,36.5469818115234,69.4100036621094,37.6546669006348,142.759994506836
171.639999389648,151.199996948242,11.2518539428711,35.0999984741211,35.4116477966309,67.6999969482422,37.2013320922852,141.059997558594
172.460006713867,156.350006103516,11.4018020629883,35.5550003051758,36.0021896362305,66.8199996948242,37.7933311462402,142.580001831055
169.919998168945,156.600006103516,11.5118913650513,36.1450004577637,36.1103172302246,66.5500030517578,38.732666015625,141.550003051758
164,154.399993896484,11.318286895752,35.5800018310547,35.5904731750488,65.5599975585938,42.7206687927246,141.080001831055
162.380004882812,152.5,11.1341724395752,35.2449989318848,34.7712020874023,64.3399963378906,43.3713340759277,138.839996337891
162.800003051758,154.25,11.2195863723755,34.8549995422363,34.6173286437988,64.379997253418,52,138.919998168945
167.080001831055,150.699996948242,11.398006439209,34.810001373291,35.2245063781738,64.9499969482422,59.1373329162598,140.949996948242
170.639999389648,153.300003051758,11.6827192306519,34.9449996948242,36.642635345459,66.2200012207031,48.9799995422363,141.720001220703
170.399993896484,153.399993896484,11.777624130249,36.0900001525879,36.6592674255371,66.3300018310547,49.9306678771973,143.850006103516
166.419998168945,153.149993896484,11.5859174728394,35.0550003051758,35.669490814209,64.6900024414062,49.8713340759277,142.339996337891
164.380004882812,153.25,11.3733310699463,34.3699989318848,35.8025703430176,63.810001373291,51.4186668395996,141.279998779297
167.440002441406,156.600006103516,11.5137901306152,34.0999984741211,35.4615516662598,64.4100036621094,51.6253318786621,142.110000610352
173.139999389648,159.550003051758,11.942756652832,34.8050003051758,36.5927276611328,67.0699996948242,51.1526679992676,142.429992675781
172.539993286133,158.649993896484,11.7985019683838,34.814998626709,35.9689178466797,66.5899963378906,53.5999984741211,141.100006103516
170.460006713867,159.75,11.6371650695801,34.5,35.8192024230957,65.8600006103516,53.335334777832,140.149993896484
172.520004272461,163.25,11.6922101974487,33.0299987792969,36.3265686035156,66.5100021362305,52.9836996078491,138.436499786377
169.360000610352,164.949996948242,11.5840187072754,30.9449996948242,35.3243141174316,65.1999969482422,57.2266654968262,139.380004882812
170.119995117188,167.199996948242,11.6428594589233,31.7150001525879,35.5738372802734,65.4499969482422,61.1613311767578,137.839996337891
169.440002441406,164.149993896484,11.6504516601562,32.6599998474121,36.3847923278809,65.3099975585938,59.9606666564941,139.110000610352
166.020004272461,159.800003051758,11.4644393920898,31.6849994659424,35.4282836914062,64.5100021362305,60.0666656494141,139.039993286133
157,151.300003051758,10.7621469497681,29.5849990844727,33.0411682128906,61.439998626709,55.5859985351562,134.490005493164
155.300003051758,151,10.684326171875,28.7350006103516,32.8540229797363,61.0299987792969,53.3273315429688,134.029998779297
155.660003662109,150.149993896484,11.1759300231934,29.0849990844727,33.423770904541,61.7799987792969,51.9199981689453,135.130004882812
148.820007324219,144.5,10.9728345870972,27.2299995422363,32.3050727844238,59.8400001525879,45.2666664123535,131.399993896484
148.580001831055,141.550003051758,10.6691408157349,26.4950008392334,31.2237987518311,58.9300003051758,44.5326652526855,130.75
149.639999389648,141.149993896484,10.2762365341187,25.6399993896484,30.8827838897705,58,49.5746688842773,132.710006713867
153.100006103516,143.300003051758,10.3825302124023,25.0400009155273,30.5001792907715,57.7599983215332,49.7006683349609,130.949996948242
154.639999389648,142,10.4318809509277,25.0599994659424,31.298656463623,58.5699996948242,49.966667175293,131.850006103516
150.5,139.949996948242,10.2895240783691,23.1650009155273,30.1050987243652,58.0699996948242,48.3026657104492,129.199996948242
