"TRVG.Close","BKNG.Close","RYA.IR.Close","LYFT.Close","TCOM.Close","TRIP.Close","HLT.Close","UBER.Close"
13.3999996185303,2074.580078125,14.9099998474121,43.5800018310547,36.9700012207031,30.2600002288818,111.449996948242,30.9899997711182
13.5,2065.47998046875,14.7449998855591,43.189998626709,36.1800003051758,30.1700000762939,109.98999786377,31.3700008392334
14.0500001907349,2047.40002441406,14.5249996185303,43.0999984741211,35.689998626709,30.0599994659424,109.419998168945,31.5799999237061
14.1000003814697,2068.05004882812,14.8149995803833,44.25,37.3300018310547,30.4699993133545,108.290000915527,32.810001373291
14.3000001907349,2062.89990234375,14.8400001525879,45.0800018310547,36.8699989318848,30.5900001525879,109.209999084473,33.9300003051758
14.1999998092651,2084.2900390625,15.2150001525879,45.5900001525879,37.1199989318848,30.4899997711182,109.089996337891,33.9700012207031
14,2086.89990234375,16.0699996948242,46.060001373291,36.7000007629395,30.1200008392334,108.599998474121,34.0099983215332
14.1499996185303,2080.5,15.8900003433228,46.3499984741211,37.6500015258789,30.6100006103516,109.290000915527,34.1399993896484
14.75,2071.47998046875,15.8999996185303,47.6800003051758,38.5,31.0499992370605,109.089996337891,34.8400001525879
14.8500003814697,2065.15991210938,15.5600004196167,47.0800018310547,37.560001373291,30.9799995422363,109.629997253418,35.0099983215332
14.75,2054.75,15.7200002670288,46.8300018310547,38.4500007629395,31.5200004577637,111.599998474121,34.6800003051758
14.6999998092651,2054.68994140625,15.6599998474121,46.5200004577637,38.939998626709,30.9300003051758,113.919998168945,35.1300010681152
14.0962500572205,1994.27947998047,15.5500001907349,46.8270002365112,35.3085001945496,29.8539999008179,109.329499435425,35.4900000572205
14.5500001907349,1990.56994628906,15.5600004196167,47.9799995422363,35.8600006103516,30.4899997711182,110.620002746582,37.5999984741211
14.6750001907349,2000.78002929688,15.5349998474121,47.4700012207031,34.4500007629395,30.2600002288818,110.849998474121,37.0400009155273
14.8999996185303,1993.19995117188,15.1599998474121,48.4799995422363,34.2599983215332,30.5599994659424,110.959999084473,37.4000015258789
13.75,1962.9599609375,15.1999998092651,48.4300003051758,31.8999996185303,29.7399997711182,108.48999786377,36.7999992370605
12.8500003814697,1908.89001464844,14.7150001525879,47.3600006103516,31.4500007629395,28.9400005340576,104.940002441406,36.2999992370605
13.3000001907349,1917.44995117188,14.8400001525879,48.2099990844727,32.9500007629395,28.7900009155273,107.860000610352,37.0099983215332
14.1000003814697,1893.94995117188,15.0950002670288,46.8400001525879,32.8600006103516,28.2999992370605,110.01000213623,36.9900016784668
13.6000003814697,1872.08996582031,14.8400001525879,47.7900009155273,33.1599998474121,28.2099990844727,109.069999694824,36.6800003051758
13.1499996185303,1830.55004882812,14.8999996185303,47.4799995422363,32.1300010681152,27.3199996948242,107.800003051758,36.2900009155273
13.1999998092651,1839.03002929688,15.7700004577637,47.9599990844727,32.3400001525879,27.6499996185303,107.849998474121,37.5900001525879
13.5,1864.51000976562,16,50,34.0999984741211,28.2600002288818,110.940002441406,38.5299987792969
14.0500001907349,1939.2900390625,16.0450000762939,48.060001373291,33.9300003051758,29.2900009155273,113.26000213623,36.810001373291
13.75,1960.90002441406,15.9750003814697,47.4199981689453,34.0699996948242,29.2099990844727,112.699996948242,37.0900001525879
13.8999996185303,1909.58996582031,15.6999998092651,49.9199981689453,33.8699989318848,28.8799991607666,110.839996337891,40.6300010681152
14.25,1886.64001464844,15.3699998855591,53.7200012207031,32.6599998474121,28.6399993896484,111.370002746582,40.0099983215332
14.6000003814697,1909.30004882812,15.7749996185303,53.939998626709,33.7900009155273,29.8099994659424,112.940002441406,41.2700004577637
13.1000003814697,1960.35998535156,15.7550001144409,48.4599990844727,34.310001373291,30.4500007629395,113.699996948242,41.25
12.6000003814697,1959.93994140625,15.6350002288818,47.0299987792969,33.689998626709,29.6399993896484,112.959999084473,40.0900001525879
13.0500001907349,1990.9599609375,15.5950002670288,44.689998626709,33.4199981689453,29.6499996185303,113.230003356934,39.6599998474121
12.0875000953674,1867.33649902344,15.414999961853,45.4859996795654,32.7029999732971,27.6430000305176,107.81249961853,38.1809999465942
12,1976.28002929688,15.3400001525879,45.0999984741211,33.6399993896484,28.8700008392334,111.930000305176,40.1800003051758
11.6999998092651,1968.48999023438,15.4250001907349,46.2400016784668,34.7900009155273,28.8400001525879,112.669998168945,41.0499992370605
12.1000003814697,1970.91003417969,15.3800001144409,45.4700012207031,33.8600006103516,28.9699993133545,112,40.9199981689453
11.6000003814697,1928.71997070312,15.3000001907349,44.7000007629395,33.060001373291,28.2900009155273,109.569999694824,40.7200012207031
10.6499996185303,1792.5400390625,13.2399997711182,42.5200004577637,31.2600002288818,26.8999996185303,104.019996643066,38.310001373291
10.5,1726.57995605469,12.8599996566772,41.8199996948242,30.1499996185303,25.6200008392334,98.879997253418,35.8899993896484
9.60000038146973,1678.19995117188,12.6350002288818,39.8600006103516,30.25,23.6100006103516,97.9000015258789,34.4500007629395
9.39999961853027,1659.84997558594,12.3149995803833,37.7799987792969,30.0100002288818,22.7199993133545,95.8300018310547,32.4500007629395
9.10000038146973,1695.66003417969,12.2550001144409,38.1199989318848,30.3600006103516,23.4500007629395,97.1999969482422,33.8699989318848
9.10000038146973,1728.97998046875,11.6499996185303,36.9099998474121,30.5,24.1100006103516,96.4599990844727,32.8499984741211
9.05000019073486,1683.02001953125,11.875,36.9700012207031,29.9400005340576,23.4500007629395,93.3300018310547,33.0400009155273
9,1732.13000488281,11.8950004577637,40.2700004577637,30.5499992370605,23.8600006103516,98.3899993896484,34.5299987792969
