"ZAL.DE.Close","UPS.Close","AMZN.Close","DHL.DE.Close","FDX.Close","AMKBY.Close","WMT.Close","X002352.SZ.Close"
45.7799987792969,116.790000915527,94.9004974365234,34.2849998474121,155.100006103516,7.19999980926514,39.6466674804688,37.4799995422363
45.2700004577637,116.720001220703,93.7484970092773,33.7999992370605,153.179992675781,7,39.2966651916504,37.189998626709
44.9099998474121,116.199996948242,95.1439971923828,33.625,153.300003051758,6.90000009536743,39.216667175293,36.8499984741211
45.5299987792969,116,95.3430023193359,33.9199981689453,154.800003051758,6.98999977111816,38.8533325195312,37.7000007629395
46.189998626709,116.660003662109,94.598503112793,34.2799987792969,157.130004882812,6.8899998664856,38.7200012207031,37.25
46.6500015258789,116.930000305176,95.0524978637695,34.625,158.050003051758,6.84000015258789,39.1199989318848,37.2599983215332
45.5,115.870002746582,94.1579971313477,34.0499992370605,156.630004882812,6.6399998664856,38.7933311462402,37.5900001525879
44.939998626709,116.75,94.5650024414062,33.7249984741211,159.279998779297,6.69000005722046,38.6266670227051,37.9199981689453
45.6399993896484,117.269996643066,93.4720001220703,34.1300010681152,162.130004882812,6.67000007629395,38.7266654968262,37.4199981689453
46.439998626709,117.930000305176,93.1009979248047,34.2599983215332,159.149993896484,6.40999984741211,38.4266662597656,37
46.5900001525879,118.610000610352,93.8970031738281,34.3950004577637,159.539993286133,6.3600001335144,38.6333312988281,36.8600006103516
47.1100006103516,118.599998474121,93.2360000610352,34.0499992370605,159.979995727539,6.36999988555908,38.3199996948242,37.1800003051758
46.2599983215332,114.933000183105,94.500524520874,34.2649993896484,154.184999847412,6.3835000038147,38.6311664581299,38.8600006103516
46.9300003051758,117.389999389648,94.5999984741211,33.9150009155273,157.529998779297,6.32000017166138,38.5299987792969,38.9599990844727
46.9500007629395,117.26000213623,94.3730010986328,33.8699989318848,155.539993286133,6.25,38.7000007629395,38.4099998474121
45.5099983215332,116.930000305176,94.2289962768555,33,154.880004882812,6.19999980926514,38.6033325195312,39.2200012207031
46.0200004577637,116.660003662109,93.0820007324219,33.2050018310547,154.070007324219,6.26999998092651,38.1233329772949,39.2786661783854
44.3800010681152,114.919998168945,91.4169998168945,32.2849998474121,148.490005493164,6.05000019073486,38.6199989318848,39.7555412451426
44.3300018310547,115.370002746582,92.6624984741211,32.3050003051758,148.399993896484,6.03999996185303,38.8666687011719,40.1314237865747
44.0999984741211,115.76000213623,92.9000015258789,32.7099990844727,148.059997558594,6.03999996185303,38.6300010681152,40.491423973071
43.6599998474121,108,93.5339965820312,31.9899997711182,148.259994506836,5.96000003814697,38.8600006103516,40.8008977134981
43.4300003051758,103.519996643066,100.435997009277,31.5750007629395,144.639999389648,5.92000007629395,38.1633338928223,41.0813977440157
44,102.029998779297,100.209999084473,31.4699993133545,143.839996337891,5.8600001335144,38.0900001525879,38.6599998474121
44.7000007629395,103.379997253418,102.483497619629,32.0750007629395,147.509994506836,6.07999992370605,38.4233322143555,38.7999992370605
44.8199996948242,106.040000915527,101.993499755859,32.6599998474121,149.949996948242,6.21999979019165,38.9366683959961,42.0999984741211
45.1300010681152,106.51000213623,102.511497497559,32.8800010681152,148.630004882812,6.13000011444092,38.7700004577637,45.3499984741211
44.7999992370605,103.120002746582,103.963996887207,32.689998626709,155.660003662109,6.03000020980835,38.8166656494141,44.8499984741211
45.560001373291,103.069999694824,106.695503234863,32.5250015258789,156.779998779297,5.96000003814697,38.4166679382324,45.2200012207031
47.060001373291,104.870002746582,107.540000915527,32.9650001525879,158,6.17000007629395,38.466667175293,44.310001373291
47.7099990844727,105.540000915527,108,33.2299995422363,158.509994506836,6.1399998664856,38.6166687011719,43.9000015258789
47.8800010681152,105.23999786377,107.493499755859,33.4199981689453,161.470001220703,6.1100001335144,39.1466674804688,42.8800010681152
47.4700012207031,105.949996948242,106.743499755859,33.2550010681152,158.619995117188,6.15999984741211,39.2966651916504,42.4700012207031
48.4099998474121,101.397500228882,103.028199768066,33.0550003051758,152.575,5.775,38.5495002746582,46.3499984741211
47.6300010681152,106.419998168945,107.783500671387,32.2400016784668,158.570007324219,6.03999996185303,39.8766670227051,45.7099990844727
48.9000015258789,106.76000213623,108.511001586914,32.564998626709,161.139999389648,6.1399998664856,39.2266654968262,46.6199989318848
47.5099983215332,106.480003356934,107.654998779297,32.2849998474121,164.910003662109,5.86999988555908,39.2299995422363,46.7900009155273
47.3199996948242,102.940002441406,104.798500061035,31.8299999237061,163.25,5.82999992370605,39.526668548584,45.7900009155273
45.1399993896484,98.4899978637695,100.464500427246,30.3649997711182,154.850006103516,5.3600001335144,38.7733345031738,45.9599990844727
44.1399993896484,93.9000015258789,98.6370010375977,29.8400001525879,145.600006103516,5.25,38.1300010681152,49.6300010681152
44.8699989318848,93.7300033569336,98.9794998168945,29.6949996948242,144.529998779297,5.21000003814697,37.9266662597656,48.5499992370605
40.9300003051758,90.2399978637695,94.2149963378906,28.6049995422363,138.759994506836,4.8899998664856,36.7999992370605,50.0400009155273
39.5299987792969,90.4899978637695,94.1875,27.1200008392334,141.169998168945,5,35.8933334350586,48.9500007629395
39.5400009155273,92.75,97.6975021362305,26.6000003814697,139.75,5.05000019073486,38.6266670227051,50.0299987792969
39.2099990844727,91.3000030517578,95.4495010375977,26.25,133.089996337891,4.8899998664856,37.6366653442383,48.0800018310547
39.5299987792969,95.8199996948242,98.7914962768555,26.5200004577637,136.410003662109,5.11999988555908,38.9233322143555,48.1300010681152
38.5999984741211,92.9899978637695,96.2014999389648,25.9249992370605,129.929992675781,4.84999990463257,38.6399993896484,48.5999984741211
