"NESN.SW.Close","UL.Close","BN.PA.Close","BON.PA.Close","PEP.Close","MCD.Close","K.Close","KHC.Close"
104.298000335693,57.0200004577637,73.9800033569336,23.6499996185303,135.820007324219,200.789993286133,63.5117378234863,31.6100006103516
106.319999694824,56.939998626709,74.620002746582,23.5499992370605,135.630004882812,200.080001831055,63.8497657775879,31.2399997711182
106.26000213623,57,74.7600021362305,23.3999996185303,136.149993896484,202.330001831055,63.7934265136719,31.3099994659424
105.199996948242,56.0800018310547,74.0599975585938,23.3500003814697,134.009994506836,202.630004882812,64.6103286743164,30.7600002288818
103.5,55.8400001525879,72.5599975585938,23,134.699996948242,205.910003662109,64.6854476928711,30.5900001525879
103.080001831055,56.2000007629395,72.6999969482422,23.0499992370605,134.789993286133,208.350006103516,64.9201889038086,30.5799999237061
102.940002441406,56.2400016784668,72.5999984741211,23,134.529998779297,207.270004272461,65.0422515869141,30.7000007629395
103.540000915527,56.5,72.2600021362305,22.25,136.529998779297,206.509994506836,65.4553985595703,31.1599998474121
103.419998168945,56.3300018310547,71.4000015258789,22.1000003814697,136.850006103516,207.320007324219,65.7276992797852,31.7299995422363
103.819999694824,56.7999992370605,72.4400024414062,21.9500007629395,139.199996948242,209.770004272461,65.9812240600586,31.6000003814697
104.900001525879,56.9500007629395,73.5,21.8999996185303,139.610000610352,210.850006103516,66.4225387573242,31.7299995422363
106.580001831055,57.3400001525879,73.6999969482422,21.7000007629395,141.259994506836,211.979995727539,66.5539932250977,31.0300006866455
106.900001525879,57.6130002975464,73.2200012207031,21.5499992370605,139.705498504639,209.984001159668,65.1953056335449,30.6175001144409
108.360000610352,57.8600006103516,73.3000030517578,21.75,141.860000610352,211.160003662109,66.2910766601562,31.0100002288818
108.779998779297,57.7099990844727,72.9000015258789,21.4500007629395,143.380004882812,211.440002441406,65.9718322753906,30.6700000762939
108.339996337891,57.7099990844727,73.3199996948242,21.0499992370605,143.649993896484,213.419998168945,66.1408462524414,30.6800003051758
108.900001525879,59.2200012207031,74.0999984741211,21.0499992370605,142.919998168945,211.240005493164,65.1079788208008,30.4099998474121
107.919998168945,58.3400001525879,72.9000015258789,20.8500003814697,142.139999389648,209.339996337891,64.8169021606445,30.3500003814697
108.620002746582,58.9599990844727,73.1800003051758,21.75,142.440002441406,210.389999389648,64.7699508666992,30.1299991607666
108.860000610352,57.7000007629395,72.8399963378906,21.75,141.729995727539,214.440002441406,64.2535247802734,29.6200008392334
107.720001220703,59.8499984741211,72.5,21.4500007629395,143.830001831055,216.179992675781,64.6760559082031,29.9400005340576
106.379997253418,59.7700004577637,72.4000015258789,21.5,142.020004272461,213.970001220703,64.0469512939453,29.2000007629395
106.980003356934,59.8600006103516,72.7600021362305,21.7000007629395,142.509994506836,215.179992675781,64.6384963989258,29.1499996185303
108.139999389648,59.7200012207031,73.379997253418,21.5,143.220001220703,214.619995117188,64.4882659912109,29.1499996185303
109,60.2400016784668,73.1600036621094,21.8500003814697,144.300003051758,214.369995117188,65.1267623901367,29.3700008392334
109.099998474121,60.9599990844727,73.7600021362305,21.6499996185303,144.330001831055,212.869995117188,59.5868530273438,29.0599994659424
109,60.6399993896484,73.4400024414062,21.1000003814697,145.369995117188,211.610000610352,60.2535209655762,29.5400009155273
109.26000213623,60.6599998474121,73.4199981689453,21.3999996185303,145.660003662109,213.210006713867,61.3521118164062,29.6900005340576
108.440002441406,60.8600006103516,73.620002746582,21.4500007629395,146.080001831055,215.729995727539,62.2253532409668,30.0100002288818
107.080001831055,60.6300010681152,73.4199981689453,22.6499996185303,146.080001831055,217.460006713867,62.1408462524414,30.0400009155273
104.699996948242,60.5299987792969,71.9199981689453,22.9500007629395,146.470001220703,217.419998168945,63.0422554016113,27.7700004577637
107.559997558594,60.3800010681152,72.5199966430664,22.1000003814697,146.990005493164,217.089996337891,63.577465057373,26.8799991607666
107.860000610352,58.9750003814697,72.2600021362305,22.3999996185303,143.242501068115,212.286499786377,61.3652585983276,27.7064999580383
107.76000213623,60.560001373291,71.9599990844727,22.1000003814697,145.600006103516,216.149993896484,63.051643371582,27.3299999237061
109.459999084473,59.9500007629395,71.5999984741211,22.3999996185303,145.529998779297,215.630004882812,62.2535209655762,27.3099994659424
109.360000610352,59.6300010681152,71.4599990844727,22.3500003814697,145.160003662109,215.080001831055,61.6619720458984,27.4200000762939
109.019996643066,59.7000007629395,71,22.5,145.850006103516,215.869995117188,61.521125793457,27.2600002288818
105.839996337891,57.7799987792969,67.5400009155273,21.8999996185303,142.639999389648,213.520004272461,60.5633811950684,26.6299991607666
104.779998779297,56.7799987792969,67.5800018310547,21.75,141.100006103516,212.100006103516,59.521125793457,26.0699996948242
104.699996948242,56.1100006103516,67.9400024414062,21.5,141.979995727539,210.100006103516,58.9389686584473,25.6399993896484
101.76000213623,54.75,65.4000015258789,21.5,136.369995117188,201,57.2957763671875,24.9699993133545
98.8499984741211,53.9300003051758,63.7200012207031,20.5,132.029998779297,194.169998168945,56.7793426513672,24.7700004577637
100.540000915527,55.8300018310547,63.0999984741211,20.8999996185303,137.580001831055,202.550003051758,59.2863845825195,26.0699996948242
103.419998168945,55.939998626709,62.7999992370605,21.5,135.580001831055,199.509994506836,58.8262901306152,25.5
106.019996643066,58.3800010681152,62.939998626709,21.4500007629395,142.389999389648,207.020004272461,60.6103286743164,26.4500007629395
105.480003356934,57.7900009155273,62.7599983215332,21.2999992370605,138.100006103516,198.320007324219,59.7746467590332,26.6499996185303
